idSite	campaign_id	banner_id	device	ad_group_id	criteria_id	avg_click_position	slot	location_of_presence_id	AdRetargetindId	placement	AdTargetId	AdvertisingSystem	DRF	utm_content	utm_term	utm_medium	utm_campaign	utm_source	date	impressions	clicks	cost	integration_id	sign	avg_impression_position	referrerTypeName	source_medium	marketing_source	traffic_channel	account_login	location_of_presence_name	avg_impression_position_round	avg_click_position_round	effective_impressions
32	30735633	4904456352	desktop	2989727610	7219442	--	other	10715	none	avito.ru	none	yandex direct	none	vzrivnie	byli_bolshe_3_net_celi	cpc	landing_set	yandex	2019-01-02	1	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Апрелевка	--	--	0
32	30735633	4950543721	desktop	2989727610	7219442	--	other	10715	none	avito.ru	none	yandex direct	none	ekskluzivnye	byli_bolshe_3_net_celi	cpc	landing_set	yandex	2019-01-02	1	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Апрелевка	--	--	0
32	30735633	4950543723	desktop	2989727611	7219444	--	other	10715	none	avito.ru	none	yandex direct	none	ekskluzivnye	glubina_bolshe_2_net_celi	cpc	landing_set	yandex	2019-01-02	1	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Апрелевка	--	--	0
32	30735633	4950543719	desktop	2989727609	7219426	--	other	10715	none	images.yandex.ru	none	yandex direct	none	ekskluzivnye	byli_na_saite_net_celi	cpc	retargeting	yandex	2019-01-02	1	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Апрелевка	--	--	0
32	30735633	4950543719	desktop	2989727609	7219426	--	other	10715	none	mail.ru	none	yandex direct	none	ekskluzivnye	byli_na_saite_net_celi	cpc	retargeting	yandex	2019-01-02	1	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Апрелевка	--	--	0
32	30735633	4904456354	desktop	2989727612	7219448	--	other	10715	none	mail.yandex.ru	none	yandex direct	none	vzrivnie	vernuvshiesya_posetiteli	cpc	landing_set	yandex	2019-01-02	60	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Апрелевка	--	--	0
32	30735633	4950543719	desktop	2989727609	7219426	--	other	10715	none	maps.yandex.ru	none	yandex direct	none	ekskluzivnye	byli_na_saite_net_celi	cpc	retargeting	yandex	2019-01-02	1	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Апрелевка	--	--	0
32	30735633	4950543719	desktop	2989727609	7219426	--	other	10715	none	www.drive2.ru	none	yandex direct	none	ekskluzivnye	byli_na_saite_net_celi	cpc	retargeting	yandex	2019-01-02	1	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Апрелевка	--	--	0
32	30735633	4904456351	desktop	2989727609	7219426	--	other	10715	none	zen.yandex.ru	none	yandex direct	none	vzrivnie	byli_na_saite_net_celi	cpc	retargeting	yandex	2019-01-02	4	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Апрелевка	--	--	0
32	30735633	4950543719	desktop	2989727609	7219426	--	other	10715	none	zen.yandex.ru	none	yandex direct	none	ekskluzivnye	byli_na_saite_net_celi	cpc	retargeting	yandex	2019-01-02	3	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Апрелевка	--	--	0
32	30735633	4904456351	desktop	2989727609	7219426	--	other	10716	none	0lik.ru	none	yandex direct	none	vzrivnie	byli_na_saite_net_celi	cpc	retargeting	yandex	2019-01-02	3	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Балашиха	--	--	0
32	30735633	4950543723	mobile	2989727611	7219444	--	other	10716	none	24smi.org	none	yandex direct	none	ekskluzivnye	glubina_bolshe_2_net_celi	cpc	landing_set	yandex	2019-01-02	1	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Балашиха	--	--	0
32	30735633	4950543719	desktop	2989727609	7219426	--	other	10716	none	26-2.ru	none	yandex direct	none	ekskluzivnye	byli_na_saite_net_celi	cpc	retargeting	yandex	2019-01-02	1	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Балашиха	--	--	0
32	30735633	4904456354	desktop	2989727612	7219448	--	other	10716	none	2do2go.ru	none	yandex direct	none	vzrivnie	vernuvshiesya_posetiteli	cpc	landing_set	yandex	2019-01-02	1	0	0.00	57	1	--	Campaigns	yandex/cpc	yandex	cpc	clid0210-1	Балашиха	--	--	0
