idSite	campaign_id	banner_id	AdDeviceType	banner_group_id	AdKeywordId	AdPosition	AdPositionType	AdRegionId	AdRetargetindId	AdPlacement	AdTargetId	AdvertisingSystem	DRF	utm_content	utm_term	utm_medium	utm_campaign	utm_source	date	impressions	clicks	spend	integration_id	sign	avg_impression_position	referrerTypeName	source_medium	marketing_source	traffic_channel	account_login	AdRegionName	avg_impression_position_round	avg_click_position_round	effective_impressions	AdGroupId_name	AdCampaignId_name	AdKeywordId_name	campaign_type
97	23843427473270153	23843427473680153	desktop	23843427473540153	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	2	0	0.0	325	1	none	Campaigns	facebook/cpc	facebook	cpc	act_104964190066525	none	none	none	0	RU - 18+	Продвижение страницы - лойсы	none	другое
97	23843427473270153	23843427473680153	mobile	23843427473540153	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	1	0	0.0	325	1	none	Campaigns	facebook/cpc	facebook	cpc	act_104964190066525	none	none	none	0	RU - 18+	Продвижение страницы - лойсы	none	другое
97	23843531649150153	23843531649240153	mobile	23843531649230153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	303	2	133.45	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	303	"Публикация: ""🚣‍♂ Довезем до воды! Все лето действует скидка..."""	"Публикация: ""🚣‍♂ Довезем до воды! Все лето действует скидка..."""	none	другое
97	23843531649150153	23843531649240153	tablet	23843531649230153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	9	0	4.75	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	9	"Публикация: ""🚣‍♂ Довезем до воды! Все лето действует скидка..."""	"Публикация: ""🚣‍♂ Довезем до воды! Все лето действует скидка..."""	none	другое
97	23843531649150153	23843531649240153	tablet	23843531649230153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	3	0	1.37	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	3	"Публикация: ""🚣‍♂ Довезем до воды! Все лето действует скидка..."""	"Публикация: ""🚣‍♂ Довезем до воды! Все лето действует скидка..."""	none	другое
97	23843531649150153	23843531649240153	mobile	23843531649230153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	146	0	64.55	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	146	"Публикация: ""🚣‍♂ Довезем до воды! Все лето действует скидка..."""	"Публикация: ""🚣‍♂ Довезем до воды! Все лето действует скидка..."""	none	другое
97	23843548194380153	23843548194530153	mobile	23843548194480153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	340	1	153.23	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	340	"Публикация: ""⛺ Туристам везет! До 31 августа действует скидка..."""	"Публикация: ""⛺ Туристам везет! До 31 августа действует скидка..."""	none	другое
97	23843548194380153	23843548194530153	tablet	23843548194480153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	7	0	1.84	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	7	"Публикация: ""⛺ Туристам везет! До 31 августа действует скидка..."""	"Публикация: ""⛺ Туристам везет! До 31 августа действует скидка..."""	none	другое
97	23843548194380153	23843548194530153	tablet	23843548194480153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	7	0	5.23	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	7	"Публикация: ""⛺ Туристам везет! До 31 августа действует скидка..."""	"Публикация: ""⛺ Туристам везет! До 31 августа действует скидка..."""	none	другое
97	23843548194380153	23843548194530153	mobile	23843548194480153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	266	0	129.25	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	266	"Публикация: ""⛺ Туристам везет! До 31 августа действует скидка..."""	"Публикация: ""⛺ Туристам везет! До 31 августа действует скидка..."""	none	другое
97	23843550861700153	23843550861750153	mobile	23843550861720153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	1270	4	92.99	325	1	none	Campaigns	facebook/cpc	facebook	cpc	act_104964190066525	none	none	none	1270	рязань	Рязань, набор операторов	none	другое
97	23843550861700153	23843550861750153	tablet	23843550861720153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	15	0	1.18	325	1	none	Campaigns	facebook/cpc	facebook	cpc	act_104964190066525	none	none	none	15	рязань	Рязань, набор операторов	none	другое
97	23843550861700153	23843550861750153	tablet	23843550861720153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	5	0	0.39	325	1	none	Campaigns	facebook/cpc	facebook	cpc	act_104964190066525	none	none	none	5	рязань	Рязань, набор операторов	none	другое
97	23843550861700153	23843550861750153	mobile	23843550861720153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	967	3	70.72	325	1	none	Campaigns	facebook/cpc	facebook	cpc	act_104964190066525	none	none	none	967	рязань	Рязань, набор операторов	none	другое
97	23843553194660153	23843553194760153	desktop	23843553194730153	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	36	0	5.58	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	36	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	none	другое
97	23843553194660153	23843553194760153	mobile	23843553194730153	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	290	7	68.54	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	290	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	none	другое
97	23843553194660153	23843553194760153	tablet	23843553194730153	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	19	1	10.15	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	19	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	none	другое
97	23843553194660153	23843553194760153	tablet	23843553194730153	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	14	0	4.7	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	14	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	none	другое
97	23843553194660153	23843553194760153	mobile	23843553194730153	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	31	1	6.19	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	31	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	none	другое
97	23843553194660153	23843553194760153	mobile	23843553194730153	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	1	0	0.32	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	1	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	none	другое
97	23843553194660153	23843553194760153	mobile	23843553194730153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	524	0	117.14	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	524	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	none	другое
97	23843553194660153	23843553194760153	tablet	23843553194730153	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	instagram	2019-07-10	9	0	3.01	325	1	none	Campaigns	instagram/cpc	instagram	cpc	act_104964190066525	none	none	none	9	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	"Публикация: ""Открылся филиал «Байкал Сервис» в Волгодонске!..."""	none	другое
