source_medium	campaignName	campaignKeyword	deviceType_standard	day_of_week	campaignContent	nb_conversions	nb_visits	conversion_rate
not_set	not_set	not_set	Desktop	not_set	not_set	15951	22081	72.24
not_set	not_set	not_set	Other	not_set	not_set	339	809	41.9
not_set	not_set	not_set	Mobile	not_set	not_set	17308	40068	43.2
not_set	not_set	not_set	Tablet	not_set	not_set	2949	4879	60.44
vk/cpc	not_set	not_set	not_set	not_set	not_set	59	99	59.6
yandex/cpc	not_set	not_set	not_set	not_set	not_set	5376	15284	35.17
yandex.ru/referral	not_set	not_set	not_set	not_set	not_set	18	21	85.71
none	not_set	not_set	not_set	not_set	not_set	22514	55440	40.61
confaelshop.ru/direct entry	not_set	not_set	not_set	not_set	not_set	850	1661	51.17
s4s-eu1.net/referral	not_set	not_set	not_set	not_set	not_set	37	21	176.19
googleads.g.doubleclick.net/referral	not_set	not_set	not_set	not_set	not_set	25	219	11.42
www.google.kz/organic	not_set	not_set	not_set	not_set	not_set	133	1108	12
www.googleadservices.com/referral	not_set	not_set	not_set	not_set	not_set	3	29	10.34
im/newsletter	not_set	not_set	not_set	not_set	not_set	158	148	106.76
spb.confaelshop.ru/direct entry	not_set	not_set	not_set	not_set	not_set	10	21	47.62
www.yandex.ru/organic	not_set	not_set	not_set	not_set	not_set	56	69	81.16
away.vk.com/referral	not_set	not_set	not_set	not_set	not_set	52	104	50
www.google.ru/organic	not_set	not_set	not_set	not_set	not_set	2359	7520	31.37
tpc.googlesyndication.com/referral	not_set	not_set	not_set	not_set	not_set	62	326	19.02
googleads.g.doubleclick.net/campaigns	not_set	not_set	not_set	not_set	not_set	1239	9090	13.63
google/cpc	not_set	not_set	not_set	not_set	not_set	65	326	19.94
www.google.com/organic	not_set	not_set	not_set	not_set	not_set	331	1245	26.59
com.google.android.googlequicksearchbox/organic	not_set	not_set	not_set	not_set	not_set	362	1355	26.72
yandex.ru/organic	not_set	not_set	not_set	not_set	not_set	280	419	66.83
none/direct entry	not_set	not_set	not_set	not_set	not_set	853	3178	26.84
127.0.0.1/referral	not_set	not_set	not_set	not_set	not_set	0	24	0
www.confael.ru/referral	not_set	not_set	not_set	not_set	not_set	1458	1099	132.67
confaelshop.ru/campaigns	not_set	not_set	not_set	not_set	not_set	46	39	117.95
none	33416113.8_marta_mo_mkb	not_set	not_set	not_set	not_set	123	116	106.03
none	33197318.8_marta_rf_poisk	not_set	not_set	not_set	not_set	1097	4278	25.64
yandex/cpc	33216759.podarki_zhenshchinam_rf_set	not_set	not_set	not_set	not_set	8	21	38.1
im/newsletter	march_8_march_2018	not_set	not_set	not_set	not_set	25	32	78.12
google/cpc	adwords	not_set	not_set	not_set	not_set	32	214	14.95
127.0.0.1/referral	none	not_set	not_set	not_set	not_set	0	24	0
none	32725047.bukety_mo_poisk	not_set	not_set	not_set	not_set	186	354	52.54
google/cpc	none	not_set	not_set	not_set	not_set	32	110	29.09
yandex/cpc	33416113.8_marta_mo_mkb	not_set	not_set	not_set	not_set	58	60	96.67
yandex/cpc	32725047.bukety_mo_poisk	not_set	not_set	not_set	not_set	107	241	44.4
none	32372870.zhenschiny_spb_poisk	not_set	not_set	not_set	not_set	23	133	17.29
yandex/cpc	32725025.tovarnaya_mo_poisk	not_set	not_set	not_set	not_set	20	35	57.14
none	32589241.magaziny_rf_set	not_set	not_set	not_set	not_set	89	177	50.28
confaelshop.ru/direct entry	none	not_set	not_set	not_set	not_set	850	1661	51.17
googleads.g.doubleclick.net/campaigns	adwords (text,image)	not_set	not_set	not_set	not_set	3	57	5.26
none	32725067.magaziny_mo_poisk	not_set	not_set	not_set	not_set	108	212	50.94
yandex/cpc	32725062.bukety_mo_set	not_set	not_set	not_set	not_set	14	55	25.45
www.google.kz/organic	none	not_set	not_set	not_set	not_set	133	1108	12
yandex/cpc	32725060.otkrytki_mo_set	not_set	not_set	not_set	not_set	13	40	32.5
none/direct entry	none	not_set	not_set	not_set	not_set	853	3178	26.84
none	none	not_set	not_set	not_set	not_set	11703	23312	50.2
none	32725024.medali__mo_poisk	not_set	not_set	not_set	not_set	17	30	56.67
none	32559838.bukety_poisk	not_set	not_set	not_set	not_set	219	497	44.06
yandex/cpc	32725067.magaziny_mo_poisk	not_set	not_set	not_set	not_set	89	168	52.98
none	32725074.magaziny_mo_set	not_set	not_set	not_set	not_set	123	132	93.18
none	32725044.tovarnaya_mo_set	not_set	not_set	not_set	not_set	292	282	103.55
none	32725062.bukety_mo_set	not_set	not_set	not_set	not_set	18	69	26.09
yandex/cpc	32589241.magaziny_rf_set	not_set	not_set	not_set	not_set	68	154	44.16
none	retargeting	not_set	not_set	not_set	not_set	41	92	44.57
googleads.g.doubleclick.net/campaigns	adwords	not_set	not_set	not_set	not_set	704	3770	18.67
none	adwords (text_image)	not_set	not_set	not_set	not_set	6	42	14.29
yandex/cpc	32389165.brendovie_set	not_set	not_set	not_set	not_set	41	48	85.42
yandex/cpc	32725046.otkrytki_mo_poisk	not_set	not_set	not_set	not_set	36	28	128.57
yandex/cpc	33416270.8_marta_rf_mkb	not_set	not_set	not_set	not_set	30	44	68.18
